Location,Address,Week,Weekend
Grace Church - Smyrna,"1004 Hazelwood Drive,  Smyrna, Tennessee",Monday - Friday: 9:00 am - 6:00 pm,Saturday: 8:00 am – 2:00 pm
Lane Agri-Park Livestock Pavilion,"315 John R. Rice Blvd, Murfreesboro, Tennessee",Monday - Friday: 9:00 am - 6:00 pm,Saturday: 8:00 am – 2:00 pm
LaVergne Multi-Purpose Building,"5093 Murfreesboro Rd, Lavergne, Tennessee",Monday - Friday: 9:00 am - 6:00 pm,Saturday: 8:00 am – 2:00 pm
Middle Tennessee Assoc of Realtors,"311 Butler Drive, Murfreesboro, Tennessee",Monday - Friday: 9:00 am - 6:00 pm,Saturday: 8:00 am – 2:00 pm
Murfreesboro SportsCom,"2310 Memorial Blvd, Murfreesboro, Tennessee",Monday - Friday: 9:00 am - 6:00 pm,Saturday: 8:00 am – 2:00 pm
Rutherford County Election Commission Annex,"426 E Vine Street, Murfreesboro, Tennessee",Monday - Friday: 9:00 am - 6:00 pm,Saturday: 8:00 am – 2:00 pm
Rutherford County Election Office,"1 South Public Square, Murfreesboro, Tennessee",Monday - Friday: 7:00 am - 7:00 pm,Saturday: 8:00 am – 2:00 pm
Smyrna Town Hall,"315 S Lowry Street, Smyrna, Tennessee",Monday - Friday: 9:00 am - 6:00 pm,Saturday: 8:00 am – 2:00 pm
World Outreach Church - Leadership Park,"1921 New Salem Highway, Murfreesboro, Tennessee",Monday - Friday: 9:00 am - 6:00 pm,Saturday: 8:00 am – 2:00 pm
