Location,Address,Week,Weekend,lat,long,
Grace Church - Smyrna,"1004 Hazelwood Drive,  Smyrna, Tennessee",Monday - Friday: 9:00 am - 6:00 pm,Saturday: 8:00 am - 2:00 pm,35.96587,-86.520132,
Lane Agri-Park Livestock Pavilion,"315 John R. Rice Blvd, Murfreesboro, Tennessee",Monday - Friday: 9:00 am - 6:00 pm,Saturday: 8:00 am - 2:00 pm,35.854309,-86.447409,
LaVergne Multi-Purpose Building,"5093 Murfreesboro Rd, Lavergne, Tennessee",Monday - Friday: 9:00 am - 6:00 pm,Saturday: 8:00 am - 2:00 pm,36.023833,-86.581163,
Middle Tennessee Assoc of Realtors,"311 Butler Drive, Murfreesboro, Tennessee",Monday - Friday: 9:00 am - 6:00 pm,Saturday: 8:00 am - 2:00 pm,35.805461,-86.393571,
Murfreesboro SportsCom,"2310 Memorial Blvd, Murfreesboro, Tennessee",Monday - Friday: 9:00 am - 6:00 pm,Saturday: 8:00 am - 2:00 pm,35.886453,-86.381032,
Rutherford County Election Commission Annex,"426 E Vine Street, Murfreesboro, Tennessee",Monday - Friday: 9:00 am - 6:00 pm,Saturday: 8:00 am - 2:00 pm,35.8439,-86.385683,
Rutherford County Election Office,"1 South Public Square, Murfreesboro, Tennessee",Monday - Friday: 7:00 am - 7:00 pm,Saturday: 8:00 am - 2:00 pm,35.845417,-86.391825,
Smyrna Town Hall,"315 S Lowry Street, Smyrna, Tennessee",Monday - Friday: 9:00 am - 6:00 pm,Saturday: 8:00 am - 2:00 pm,35.97421,-86.510347,
World Outreach Church - Leadership Park,"1921 New Salem Highway, Murfreesboro, Tennessee",Monday - Friday: 9:00 am - 6:00 pm,Saturday: 8:00 am - 2:00 pm,35.816543,-86.425592,
