"bill_id","session_id","bill_number","status","status_desc","status_date","title","description","committee_id","committee","last_action_date","last_action","url","state_link"
1831653,2002,"HB2371",4,"Passed","4/8/2024","AN ACT to amend Tennessee Code Annotated, Title 63 and Title 68, Chapter 3, relative to vital records.","As enacted, increases from 48 hours to two business days the time by which a physician in charge of a patient who dies or a medical examiner must determine the cause of death and complete and sign a medical certification of death. - Amends TCA Title 63 and Title 68, Chapter 3.",0,"","4/8/2024","Comp. became Pub. Ch. 648","https://legiscan.com/TN/bill/HB2371/2023","https://wapp.capitol.tn.gov/apps/Billinfo/default.aspx?BillNumber=HB2371&ga=113"
1831665,2002,"SB2211",4,"Passed","4/3/2024","AN ACT to amend Tennessee Code Annotated, Title 49, Chapter 7, Part 13, relative to veterans education transition support campuses.","As enacted, authorizes the commission to designate VETS campuses that strive to increase enrollment, continuation, and graduation rates of veterans, and that meet certain qualification criteria established by the commission, as VETS Bravo campuses; establishes reporting requirements for VETS Bravo campuses. - Amends TCA Title 49, Chapter 7, Part 13.",0,"","4/3/2024","Comp. became Pub. Ch. 622","https://legiscan.com/TN/bill/SB2211/2023","https://wapp.capitol.tn.gov/apps/Billinfo/default.aspx?BillNumber=SB2211&ga=113"
1831802,2002,"SB2284",4,"Passed","4/8/2024","AN ACT to amend Tennessee Code Annotated, Title 18, Chapter 6, relative to office qualifications.","As enacted, requires a person seeking to qualify for election to the office of county clerk to be a qualified voter of the county and a resident of the county for one year prior to the date of the qualifying deadline for running as a candidate for county clerk. - Amends TCA Title 18, Chapter 6.",0,"","4/8/2024","Effective date(s) 04/04/2024","https://legiscan.com/TN/bill/SB2284/2023","https://wapp.capitol.tn.gov/apps/Billinfo/default.aspx?BillNumber=SB2284&ga=113"
1831814,2002,"SB2276",4,"Passed","4/3/2024","AN ACT to amend Tennessee Code Annotated, Title 4; Title 63 and Title 68, relative to executive directors.","As enacted, clarifies that the executive directors of the board of pharmacy and the board of nursing are employees of the department of health, under the supervision and control of the division of health related boards. - Amends TCA Title 4; Title 63 and Title 68.",0,"","4/3/2024","Effective date(s) 03/27/2024","https://legiscan.com/TN/bill/SB2276/2023","https://wapp.capitol.tn.gov/apps/Billinfo/default.aspx?BillNumber=SB2276&ga=113"
1831835,2002,"SB2324",4,"Passed","4/9/2024","AN ACT to amend Tennessee Code Annotated, Section 67-3-901, relative to public and environmental infrastructure at marinas.","As introduced, requires that a grant awarded to a marina from the portion of gasoline tax revenues apportioned to the wildlife resources fund for public and environmental infrastructure at marinas be based on the amount of gasoline sold at the marina receiving the grant. - Amends TCA Section 67-3-901.",0,"","4/9/2024","Signed by Governor.","https://legiscan.com/TN/bill/SB2324/2023","https://wapp.capitol.tn.gov/apps/Billinfo/default.aspx?BillNumber=SB2324&ga=113"
1831841,2002,"SB2325",4,"Passed","4/11/2024","AN ACT to amend Chapter 289 of the Private Acts of 1976; as amended by Chapter 241 of the Private Acts of 1978; Chapter 92 of the Private Acts of 2000; and any other acts amendatory thereto, relative to the Scott County Attorney.","Subject to local approval, sets the salary of the county attorney at $65,000 annually, subject to cost-of-living increases. - Amends Chapter 289 of the Private Acts of 1976; as amended.",0,"","4/11/2024","Signed by Governor.","https://legiscan.com/TN/bill/SB2325/2023","https://wapp.capitol.tn.gov/apps/Billinfo/default.aspx?BillNumber=SB2325&ga=113"
1831862,2002,"SB2330",4,"Passed","4/8/2024","AN ACT to amend Tennessee Code Annotated, Title 5; Title 7; Title 56; Title 68 and Title 71, relative to an assessment on ground ambulance service providers.","As enacted, extends the ground ambulance service annual assessment to June 30, 2025. - Amends TCA Title 5; Title 7; Title 56; Title 68 and Title 71.",0,"","4/8/2024","Comp. became Pub. Ch. 633","https://legiscan.com/TN/bill/SB2330/2023","https://wapp.capitol.tn.gov/apps/Billinfo/default.aspx?BillNumber=SB2330&ga=113"
1831903,2002,"SB2331",4,"Passed","4/11/2024","AN ACT to amend Tennessee Code Annotated, Section 8-25-115, relative to the length of service award program.","As introduced, removes the requirement that length of service awards for volunteer firefighters are awarded on a first come, first served basis; requires a portion of the appropriated funds in each fiscal year to be used to pay expenses incurred for the administration of the length of service award program; requires unexpended funds remaining after the payment of grant awards and expenses for the administration of the program to be carried forward into the next fiscal year. - Amends TCA Section 8-25-115.",0,"","4/11/2024","Signed by Governor.","https://legiscan.com/TN/bill/SB2331/2023","https://wapp.capitol.tn.gov/apps/Billinfo/default.aspx?BillNumber=SB2331&ga=113"
1831953,2002,"SB2359",4,"Passed","4/11/2024","AN ACT to amend Tennessee Code Annotated, Title 4; Title 36; Title 37 and Title 71, relative to children.","As introduced, prohibits the department of children's services from requiring an immunization as a condition of adopting or overseeing a child in foster care if an individual or member of an individual's household objects to immunization on the basis of religious or moral convictions. - Amends TCA Title 4; Title 36; Title 37 and Title 71.",0,"","4/11/2024","Signed by Governor.","https://legiscan.com/TN/bill/SB2359/2023","https://wapp.capitol.tn.gov/apps/Billinfo/default.aspx?BillNumber=SB2359&ga=113"
1831975,2002,"HB2522",4,"Passed","4/8/2024","AN ACT to amend Tennessee Code Annotated, Title 63, relative to osteopathic physicians.","As enacted, authorizes the board of osteopathic examination to issue advisory private letter rulings upon request to affected licensees regarding matters within the board's primary jurisdiction; provides that such rulings only affect the licensee making the inquiry and have no precedential value for another inquiry or future contested case that might come before the board. - Amends TCA Title 63.",0,"","4/8/2024","Comp. became Pub. Ch. 651","https://legiscan.com/TN/bill/HB2522/2023","https://wapp.capitol.tn.gov/apps/Billinfo/default.aspx?BillNumber=HB2522&ga=113"
