ZIP,Studio,BR1,BR2,BR3,BR4,ZIP_Average,Rent_Category
37037,1900,1990,2180,2790,3400,2452,Above average
37086,1730,1820,1990,2540,3100,2236,Above average
37153,1670,1750,1920,2450,2990,2156,Above average
37128,1570,1640,1800,2300,2800,2022,Above average
37129,1570,1640,1800,2300,2800,2022,Above average
37167,1430,1500,1640,2100,2560,1846,Below average
37127,1360,1420,1560,1990,2430,1752,Below average
37085,1320,1380,1520,1940,2360,1704,Below average
37130,1280,1340,1470,1880,2290,1652,Below average
37132,1280,1340,1470,1880,2290,1652,Below average
37149,1150,1180,1320,1660,2020,1466,Below average
37118,1150,1170,1320,1660,2020,1464,Below average
