Precinct,Voters,Pct_Nonwhite,Pct_Harris,Pct_Trump,Pct_Other,Winner
33-4,5068,74,71.4,26.4,2.2,Harris
33-5,1509,66,71.9,25.9,2.2,Harris
33-6,2865,70,58.4,38.5,3.1,Harris
34-1,3805,7.000000000000001,47.8,50.6,1.7,Trump
34-2,1926,9,41.6,56.2,2.2,Trump
34-3,2853,26,62.8,34.9,2.2,Harris
34-4,3297,12,57.2,41.5,1.3,Harris
34-5,3523,9,55.6,42.9,1.5,Harris
34-6,79,1,58.5,40.8,0.7,Harris
35-1,676,11,32.7,65.6,1.8,Trump
35-2,4438,15,48.9,49,2.1,Trump
35-3,3792,19,55.6,42.1,2.3,Harris
35-4,1330,31,56.3,42.3,1.4,Harris
35-5,5242,21,49.6,47.6,2.8,Harris
4-1,6165,37,58.9,39,2.2,Harris
4-2,6011,27,48.8,48.3,2.8,Harris
4-3,3672,21,46.2,51.3,2.5,Trump
5-1,1113,67,77.2,21.8,1,Harris
5-2,95,38,78,20,2,Harris
5-3,966,60,75.9,19.5,4.6,Harris
5-4,3600,56.99999999999999,78.2,18.8,3,Harris
5-5,1659,72,87.8,10.2,1.9,Harris
5-6,4757,45,79.7,17.9,2.4,Harris
5-7,3641,44,82.5,14.6,2.9,Harris
5-8,1159,25,73.6,23.6,2.8,Harris
6-1,348,28.000000000000004,81.9,14.7,3.5,Harris
6-2,330,51,84.9,15.1,0,Harris
6-3,3357,22,82.4,14.9,2.7,Harris
6-4,2912,26,76.9,20.5,2.6,Harris
6-5,1572,28.999999999999996,80.3,17.1,2.6,Harris
6-6,1994,18,80,17.1,2.8,Harris
6-7,3392,63,82.8,15.8,1.5,Harris
6-8,2998,15,81.3,16.6,2.1,Harris
7-1,1845,56.00000000000001,79.5,18.5,2,Harris
7-2,926,46,75.5,23.2,1.3,Harris
7-3,3955,53,70.3,27.6,2.1,Harris
7-4,3545,19,73.5,24.1,2.4,Harris
7-5,3303,20,76.7,20.1,3.2,Harris
7-6,1310,27,76.5,21.6,1.9,Harris
7-7,2906,23,75.2,22.7,2.1,Harris
8-1,8387,63,69,29.6,1.4,Harris
8-2,1123,50,60.8,37.6,1.6,Harris
8-3,5860,62,69.8,28.6,1.7,Harris
9-1,5221,63,71.5,26.4,2,Harris
9-2,4980,72,79.7,18.3,2,Harris
9-3,5630,48,64.1,33.6,2.4,Harris
