"","Post","Date","Url","Author","Full.Text"
"1699","NPR review","2024-04-24 23:20:30.0","http://twitter.com/mikeformby/statuses/1783274851794383118","mikeformby","@taylorswift13 @annkpowers @nprmusic Congratulations Democrats! Shovel trillions to Ukraine until everyone is dead and all of Russia is conquered AND allow in millions of illegals until America is broke and conquered! Another win for globalists and a loss for the U.S. and Freedom! In the end they will control all…"
"1700","NPR review","2024-04-24 23:18:49.0","http://twitter.com/kenny818051/statuses/1783274424164028596","kenny818051","@taylorswift13 @annkpowers @nprmusic This is Maybe the tackiest thing you have ever done. Manipulative and gross"
"1701","NPR review","2024-04-24 23:17:38.0","http://twitter.com/chalkEcheese/statuses/1783274126511407601","chalkEcheese","THE GOOD KIND😭"
"1702","NPR review","2024-04-24 23:02:12.0","http://twitter.com/sereynababy/statuses/1783270244242350293","sereynababy","When the song is 2 gr8 4 real"
"1703","NPR review","2024-04-24 22:59:25.0","http://twitter.com/Ppzud0/statuses/1783269545781727398","Ppzud0","@taylorswift13 @swifferupdates @annkpowers @nprmusic Why any of those great reviews get on @metacritic? Is something up? https://t.co/AIQsloimIM"
"1704","NPR review","2024-04-24 22:55:18.0","http://twitter.com/INA_YH95/statuses/1783268507741990914","INA_YH95","#TaylorSwift ✨️ #TSTTPD 🤍"
"1705","NPR review","2024-04-24 22:53:54.0","http://twitter.com/writtenlucky/statuses/1783268155789316347","writtenlucky","crying in a good way!!!!!!"
"1706","NPR review","2024-04-24 22:52:06.0","http://twitter.com/N_E_L_Y_O/statuses/1783267704008552958","N_E_L_Y_O","My Tay's lyrics were written in blood? Damn that's deepcut and super meaningful coming from her heart. @taylorswift13"
"1707","NPR review","2024-04-24 22:48:12.0","http://twitter.com/CL_Hayate/statuses/1783266722247737572","CL_Hayate","@taylorswift13 @annkpowers @nprmusic TAYLOR NOTICE ME PLEASE"
"1708","NPR review","2024-04-24 22:45:04.0","http://twitter.com/vaakagaming/statuses/1783265934435627078","vaakagaming","@taylorswift13 @annkpowers @nprmusic This is the most beautiful album.. I've cried, I've laughed. I've felt intense sympathy and also empathy, but also vindication? I haven't stopped listening. Anyone with anything negative to say clearly isn't trying to *listen*. Thank you, Taylor!"
