Athletes Name ,Gender,Content Type,Engagement Rate 
Braden Smith ,M,3,0.072654723
Braden Smith ,M,1,0.18529316
Braden Smith ,M,1,0.204120521
Braden Smith ,M,1,0.105358306
Braden Smith ,M,1,0.305325733
Braden Smith ,M,1,0.213355049
Braden Smith ,M,1,0.37747557
Braden Smith ,M,2,0.000390879
Braden Smith ,M,2,0.3547557
Braden Smith ,M,2,0.131856678
Braden Smith ,M,1,0.410749186
Braden Smith ,M,3,0.050993485
Braden Smith ,M,3,0.025602606
Braden Smith ,M,2,0.094397394
Ryan Kalkbrenner,M,2,0.137093023
Ryan Kalkbrenner,M,2,0.068565891
Ryan Kalkbrenner,M,3,0.000193798
Ryan Kalkbrenner,M,1,0.168410853
Ryan Kalkbrenner,M,1,0.029418605
Ryan Kalkbrenner,M,3,0.04255814
Ryan Kalkbrenner,M,1,0.09872093
Ryan Kalkbrenner,M,1,3.571744186
Ryan Kalkbrenner,M,1,0.014806202
Ryan Kalkbrenner,M,1,0.085891473
Ryan Kalkbrenner,M,1,0.032596899
Ryan Kalkbrenner,M,3,0.045387597
Ryan Kalkbrenner,M,2,0.02503876
Ryan Kalkbrenner,M,1,0.061589147
Ryan Kalkbrenner,M,1,0.176976744
Ryan Kalkbrenner,M,1,0.042674419
Ryan Kalkbrenner,M,1,0.03751938
Ryan Kalkbrenner,M,2,0.086860465
Ryan Kalkbrenner,M,1,0.09748062
Ryan Kalkbrenner,M,3,0.016046512
Ryan Kalkbrenner,M,1,0.059844961
Ryan Kalkbrenner,M,1,0.06755814
Ryan Kalkbrenner,M,3,0.010697674
Ryan Kalkbrenner,M,1,0.060930233
Ryan Kalkbrenner,M,2,0.049457364
Ryan Kalkbrenner,M,1,0.032093023
Ryan Kalkbrenner,M,1,0.143023256
Ryan Kalkbrenner,M,1,0.318604651
Ryan Kalkbrenner,M,3,0.027906977
Ryan Kalkbrenner,M,1,0.036821705
Ryan Kalkbrenner,M,2,0.272015504
Ryan Kalkbrenner,M,3,0.001434109
Ryan Kalkbrenner,M,3,0.034844961
Ryan Kalkbrenner,M,1,0.10872093
Ryan Kalkbrenner,M,3,0.081705426
Ryan Kalkbrenner,M,1,0.212751938
Ryan Kalkbrenner,M,3,0.02255814
Ryan Kalkbrenner,M,2,0.024263566
Ryan Kalkbrenner,M,2,0.073953488
